taxon_id	taxon_group
NCBITaxon:1817	ACTINOBACTERIAL
NCBITaxon:1821	ACTINOBACTERIAL
NCBITaxon:1824	ACTINOBACTERIAL
NCBITaxon:1827	ACTINOBACTERIAL
NCBITaxon:1828	ACTINOBACTERIAL
NCBITaxon:1829	ACTINOBACTERIAL
NCBITaxon:1833	ACTINOBACTERIAL
NCBITaxon:1835	ACTINOBACTERIAL
NCBITaxon:1836	ACTINOBACTERIAL
NCBITaxon:1837	ACTINOBACTERIAL
NCBITaxon:1839	ACTINOBACTERIAL
NCBITaxon:1847	ACTINOBACTERIAL
NCBITaxon:1849	ACTINOBACTERIAL
NCBITaxon:1851	ACTINOBACTERIAL
NCBITaxon:1854	ACTINOBACTERIAL
NCBITaxon:1855	ACTINOBACTERIAL
NCBITaxon:1865	ACTINOBACTERIAL
NCBITaxon:1866	ACTINOBACTERIAL
NCBITaxon:1867	ACTINOBACTERIAL
NCBITaxon:1871	ACTINOBACTERIAL
NCBITaxon:1873	ACTINOBACTERIAL
NCBITaxon:1874	ACTINOBACTERIAL
NCBITaxon:1876	ACTINOBACTERIAL
NCBITaxon:1877	ACTINOBACTERIAL
NCBITaxon:1879	ACTINOBACTERIAL
NCBITaxon:1880	ACTINOBACTERIAL
NCBITaxon:1883	ACTINOBACTERIAL
NCBITaxon:1884	ACTINOBACTERIAL
NCBITaxon:1885	ACTINOBACTERIAL
NCBITaxon:1886	ACTINOBACTERIAL
NCBITaxon:1887	ACTINOBACTERIAL
NCBITaxon:1888	ACTINOBACTERIAL
NCBITaxon:1889	ACTINOBACTERIAL
NCBITaxon:1890	ACTINOBACTERIAL
NCBITaxon:1892	ACTINOBACTERIAL
NCBITaxon:1893	ACTINOBACTERIAL
NCBITaxon:1894	ACTINOBACTERIAL
NCBITaxon:1895	ACTINOBACTERIAL
NCBITaxon:1896	ACTINOBACTERIAL
NCBITaxon:1897	ACTINOBACTERIAL
NCBITaxon:1898	ACTINOBACTERIAL
NCBITaxon:1901	ACTINOBACTERIAL
NCBITaxon:1902	ACTINOBACTERIAL
NCBITaxon:1903	ACTINOBACTERIAL
NCBITaxon:1904	ACTINOBACTERIAL
NCBITaxon:1905	ACTINOBACTERIAL
NCBITaxon:1906	ACTINOBACTERIAL
NCBITaxon:1907	ACTINOBACTERIAL
NCBITaxon:1908	ACTINOBACTERIAL
NCBITaxon:1909	ACTINOBACTERIAL
NCBITaxon:1910	ACTINOBACTERIAL
NCBITaxon:1911	ACTINOBACTERIAL
NCBITaxon:1912	ACTINOBACTERIAL
NCBITaxon:1914	ACTINOBACTERIAL
NCBITaxon:1915	ACTINOBACTERIAL
NCBITaxon:1916	ACTINOBACTERIAL
NCBITaxon:1917	ACTINOBACTERIAL
NCBITaxon:1919	ACTINOBACTERIAL
NCBITaxon:1920	ACTINOBACTERIAL
NCBITaxon:1921	ACTINOBACTERIAL
NCBITaxon:1922	ACTINOBACTERIAL
NCBITaxon:1923	ACTINOBACTERIAL
NCBITaxon:1924	ACTINOBACTERIAL
NCBITaxon:1927	ACTINOBACTERIAL
NCBITaxon:1928	ACTINOBACTERIAL
NCBITaxon:1930	ACTINOBACTERIAL
NCBITaxon:1931	ACTINOBACTERIAL
NCBITaxon:1932	ACTINOBACTERIAL
NCBITaxon:1933	ACTINOBACTERIAL
NCBITaxon:1935	ACTINOBACTERIAL
NCBITaxon:1936	ACTINOBACTERIAL
NCBITaxon:1938	ACTINOBACTERIAL
NCBITaxon:1940	ACTINOBACTERIAL
NCBITaxon:1941	ACTINOBACTERIAL
NCBITaxon:1942	ACTINOBACTERIAL
NCBITaxon:1943	ACTINOBACTERIAL
NCBITaxon:1944	ACTINOBACTERIAL
NCBITaxon:1945	ACTINOBACTERIAL
NCBITaxon:1946	ACTINOBACTERIAL
NCBITaxon:1948	ACTINOBACTERIAL
NCBITaxon:1949	ACTINOBACTERIAL
NCBITaxon:1950	ACTINOBACTERIAL
NCBITaxon:1952	ACTINOBACTERIAL
NCBITaxon:1956	ACTINOBACTERIAL
NCBITaxon:1957	ACTINOBACTERIAL
NCBITaxon:1960	ACTINOBACTERIAL
NCBITaxon:1961	ACTINOBACTERIAL
NCBITaxon:1967	ACTINOBACTERIAL
NCBITaxon:1968	ACTINOBACTERIAL
NCBITaxon:1969	ACTINOBACTERIAL
NCBITaxon:1970	ACTINOBACTERIAL
NCBITaxon:1971	ACTINOBACTERIAL
NCBITaxon:1972	ACTINOBACTERIAL
NCBITaxon:1988	ACTINOBACTERIAL
NCBITaxon:1989	ACTINOBACTERIAL
NCBITaxon:1990	ACTINOBACTERIAL
NCBITaxon:1993	ACTINOBACTERIAL
NCBITaxon:1995	ACTINOBACTERIAL
NCBITaxon:1998	ACTINOBACTERIAL
NCBITaxon:2000	ACTINOBACTERIAL
NCBITaxon:2001	ACTINOBACTERIAL
NCBITaxon:2002	ACTINOBACTERIAL
NCBITaxon:2005	ACTINOBACTERIAL
NCBITaxon:2013	ACTINOBACTERIAL
NCBITaxon:2014	ACTINOBACTERIAL
NCBITaxon:2015	ACTINOBACTERIAL
NCBITaxon:2016	ACTINOBACTERIAL
NCBITaxon:2017	ACTINOBACTERIAL
NCBITaxon:2019	ACTINOBACTERIAL
NCBITaxon:2020	ACTINOBACTERIAL
NCBITaxon:2021	ACTINOBACTERIAL
NCBITaxon:2023	OTHER_BACTERIAL
NCBITaxon:2025	OTHER_BACTERIAL
NCBITaxon:2026	OTHER_BACTERIAL
NCBITaxon:2029	ACTINOBACTERIAL
NCBITaxon:2030	ACTINOBACTERIAL
NCBITaxon:2034	ACTINOBACTERIAL
NCBITaxon:2035	ACTINOBACTERIAL
NCBITaxon:2041	ACTINOBACTERIAL
NCBITaxon:2045	ACTINOBACTERIAL
NCBITaxon:2049	ACTINOBACTERIAL
NCBITaxon:2053	ACTINOBACTERIAL
NCBITaxon:2055	ACTINOBACTERIAL
NCBITaxon:2060	ACTINOBACTERIAL
NCBITaxon:2062	ACTINOBACTERIAL
NCBITaxon:2063	ACTINOBACTERIAL
NCBITaxon:2064	ACTINOBACTERIAL
NCBITaxon:2065	ACTINOBACTERIAL
NCBITaxon:2066	ACTINOBACTERIAL
NCBITaxon:2071	ACTINOBACTERIAL
NCBITaxon:2074	ACTINOBACTERIAL
NCBITaxon:2097	OTHER_BACTERIAL
NCBITaxon:2102	OTHER_BACTERIAL
NCBITaxon:2160	ARCHAEAL
NCBITaxon:2184	ARCHAEAL
NCBITaxon:2190	ARCHAEAL
NCBITaxon:2200	ARCHAEAL
NCBITaxon:2203	ARCHAEAL
NCBITaxon:2208	ARCHAEAL
NCBITaxon:2210	ARCHAEAL
NCBITaxon:2214	ARCHAEAL
NCBITaxon:2238	ARCHAEAL
NCBITaxon:2242	ARCHAEAL
