standard_inchi_key	identifier	label	antimicrobial_class	slug	corpus_commit
BDUHCSBCVGXTJM-IZLXSDGUSA-N	CHEBI:46742	Nutlin-3	ANTIVIRAL	nutlin-3	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BEGLCMHJXHIJLR-UHFFFAOYSA-N	CHEBI:53620	methylisothiazolinone	ANTIFUNGAL	methylisothiazolinone	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BFCRRLMMHNLSCP-UHFFFAOYSA-N	CHEBI:131726	brodimoprim	ANTIBACTERIAL	brodimoprim	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BFDWBSRJQZPEEB-UHFFFAOYSA-L	CHEBI:86431	sodium fluorophosphate	ANTIBACTERIAL	sodium-fluorophosphate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BFLSLERVRLOFCX-BYPYZUCNSA-N	CHEBI:87123	tulipalin B	ANTIBACTERIAL	tulipalin-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BFPJOJFVZXWMSM-QWWQXMGCSA-N	CHEBI:65615	chamaejasmenin D	ANTIFUNGAL	chamaejasmenin-d	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BFSBNVPBVGFFCF-WDOVLDDZSA-N	CHEBI:156429	tabtoxin	ANTIMICROBIAL_UNSPECIFIED	tabtoxin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BFSMGDJOXZAERB-UHFFFAOYSA-N	CHEBI:75045	dabrafenib	ANTIVIRAL	dabrafenib	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BFUAJTIVTIKBSB-GOUKQLAUSA-N	CHEBI:15715	streptomycin 3''-phosphate	ANTIMICROBIAL_UNSPECIFIED	streptomycin-3-phosphate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BFWMWWXRWVJXSE-UHFFFAOYSA-M	CHEBI:30473	fentin hydroxide	ANTIFUNGAL	fentin-hydroxide	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BGIYKDUASORTBB-UHFFFAOYSA-N	CHEBI:93358	PD169316	ANTIVIRAL	pd169316	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BHELIUBJHYAEDK-OAIUPTLZSA-N	CHEBI:31240	aspoxicillin	ANTIBACTERIAL	aspoxicillin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
