old_taxon_id	new_taxon_id	requested_by
NCBITaxon:285843	NCBITaxon:2769829	lotus
NCBITaxon:285844	NCBITaxon:2769830	lotus
NCBITaxon:286065	NCBITaxon:130373	lotus
NCBITaxon:287904	NCBITaxon:3285840	lotus
NCBITaxon:291364	NCBITaxon:2231603	chebi_origins
NCBITaxon:297534	NCBITaxon:2488646	lotus
NCBITaxon:300020	NCBITaxon:33918	chebi_origins,lotus
NCBITaxon:301888	NCBITaxon:3286417	lotus
NCBITaxon:306521	NCBITaxon:3150566	lotus
NCBITaxon:312444	NCBITaxon:2780144	lotus
NCBITaxon:314325	NCBITaxon:1573923	lotus
NCBITaxon:318857	NCBITaxon:2137241	lotus
NCBITaxon:320357	NCBITaxon:542673	lotus
NCBITaxon:326618	NCBITaxon:1955267	chebi_origins,lotus
NCBITaxon:326621	NCBITaxon:1955266	lotus
NCBITaxon:326669	NCBITaxon:2487000	chebi_origins,lotus
NCBITaxon:327567	NCBITaxon:2530190	lotus
NCBITaxon:328575	NCBITaxon:760133	lotus
NCBITaxon:329018	NCBITaxon:2831954	chebi_origins,lotus
NCBITaxon:329525	NCBITaxon:33900	lotus
NCBITaxon:330533	NCBITaxon:2587414	lotus
NCBITaxon:333310	NCBITaxon:3621	chebi_origins
NCBITaxon:333317	NCBITaxon:2723817	lotus
NCBITaxon:335058	NCBITaxon:93681	lotus
NCBITaxon:341553	NCBITaxon:68761	lotus
NCBITaxon:354014	NCBITaxon:353920	lotus
NCBITaxon:354415	NCBITaxon:58976	lotus
NCBITaxon:354417	NCBITaxon:501383	lotus
NCBITaxon:359879	NCBITaxon:313684	lotus
NCBITaxon:360603	NCBITaxon:2077170	lotus
NCBITaxon:360988	NCBITaxon:3286427	lotus
NCBITaxon:362645	NCBITaxon:3028044	lotus
NCBITaxon:362815	NCBITaxon:1529958	lotus
NCBITaxon:362816	NCBITaxon:248342	lotus
NCBITaxon:367768	NCBITaxon:2759717	lotus
NCBITaxon:369011	NCBITaxon:2977363	lotus
NCBITaxon:376184	NCBITaxon:2981537	lotus
NCBITaxon:387284	NCBITaxon:161829	chebi_origins,lotus
NCBITaxon:388663	NCBITaxon:1811924	lotus
NCBITaxon:394425	NCBITaxon:2016671	lotus
NCBITaxon:395377	NCBITaxon:286222	lotus
NCBITaxon:399530	NCBITaxon:2748578	chebi_origins,lotus
NCBITaxon:404572	NCBITaxon:1780398	lotus
NCBITaxon:418522	NCBITaxon:146035	lotus
NCBITaxon:429499	NCBITaxon:141622	lotus
NCBITaxon:429536	NCBITaxon:2912551	chebi_origins,lotus
NCBITaxon:442961	NCBITaxon:182019	lotus
NCBITaxon:443892	NCBITaxon:3049441	lotus
NCBITaxon:445258	NCBITaxon:71874	chebi_origins,lotus
NCBITaxon:448389	NCBITaxon:172966	lotus
NCBITaxon:450050	NCBITaxon:149645	lotus
NCBITaxon:458338	NCBITaxon:1888378	lotus
NCBITaxon:461223	NCBITaxon:1743254	lotus
NCBITaxon:463665	NCBITaxon:2895647	lotus
NCBITaxon:464399	NCBITaxon:3286368	lotus
NCBITaxon:469282	NCBITaxon:1549217	chebi_origins
NCBITaxon:478866	NCBITaxon:2932460	lotus
NCBITaxon:480092	NCBITaxon:1679403	chebi_origins,lotus
NCBITaxon:482479	NCBITaxon:1120086	lotus
NCBITaxon:483159	NCBITaxon:2829801	chebi_origins
NCBITaxon:483837	NCBITaxon:2511971	lotus
NCBITaxon:484172	NCBITaxon:82017	chebi_origins
NCBITaxon:489862	NCBITaxon:86685	lotus
NCBITaxon:491192	NCBITaxon:3151635	lotus
NCBITaxon:497295	NCBITaxon:395286	lotus
NCBITaxon:502130	NCBITaxon:1932322	lotus
NCBITaxon:508272	NCBITaxon:2086526	lotus
NCBITaxon:509205	NCBITaxon:5599	chebi_origins
NCBITaxon:516045	NCBITaxon:2930495	lotus
NCBITaxon:516709	NCBITaxon:1892802	lotus
NCBITaxon:519505	NCBITaxon:2035324	lotus
NCBITaxon:522279	NCBITaxon:2780564	lotus
NCBITaxon:531950	NCBITaxon:1437453	chebi_origins
NCBITaxon:537824	NCBITaxon:280633	lotus
NCBITaxon:537831	NCBITaxon:1112837	lotus
NCBITaxon:544674	NCBITaxon:283120	chebi_origins,lotus
NCBITaxon:553056	NCBITaxon:3097545	lotus
NCBITaxon:558490	NCBITaxon:3070615	lotus
NCBITaxon:565971	NCBITaxon:37494	chebi_origins,lotus
NCBITaxon:581188	NCBITaxon:267679	chebi_origins,lotus
NCBITaxon:582799	NCBITaxon:2909144	chebi_origins,lotus
NCBITaxon:588651	NCBITaxon:1163757	lotus
NCBITaxon:593583	NCBITaxon:279624	lotus
