standard_inchi_key	cid	aid	assay_name	assay_type	depositor	activity_outcome	activity_name	activity_value_um	target_accession	reference
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743223	qHTS assay to identify small molecule antagonists of the vitamin D receptor (VDR) signaling pathway	Confirmatory	824	Inconclusive	Potency	52.9587	BAH02291	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743224	qHTS assay to identify small molecule agonists of the vitamin D receptor (VDR) signaling pathway - cell viability counter screen	Confirmatory	824	Active	Potency	42.0666		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743225	qHTS assay to identify small molecule antagonists of the vitamin D receptor (VDR) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	8.025		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743228	qHTS assay for small molecule activators of the heat shock response signaling pathway: Summary	Summary	824	Active	Potency	14.0908	NP_001531	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743228	qHTS assay for small molecule activators of the heat shock response signaling pathway: Summary	Summary	824	Active	Potency	15.4091	NP_001531	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743240	qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway: Summary	Summary	824	Active			ADZ17382	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743240	qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway: Summary	Summary	824	Active			ADZ17382	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743241	qHTS assay to identify small molecule agonists of the vitamin D receptor (VDR) signaling pathway: Summary	Summary	824	Inconclusive	Potency	32.1566	BAH02291	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743321	Confirmed inhibitors of Serine Threonine Kinase 33, STK33	Other	1043	Active			NP_112168	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	777	CYP2C9 Assay	Screening	Burnham Center for Chemical Genomics	Active			NP_000762	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	778	CYP2C19 Assay	Screening	Burnham Center for Chemical Genomics	Active			NP_000760	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	794	Confirmation biochemical assay for inhibitors of Focal Adhesion Kinase (FAK)	Other	The Scripps Research Institute Molecular Screening Center	Active			Q05397	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	810	Dose-response biochemical assay for inhibitors of Focal Adhesion Kinase (FAK)	Confirmatory	The Scripps Research Institute Molecular Screening Center	Active			Q05397	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	884	qHTS Assay for Inhibitors and Substrates of Cytochrome P450 3A4	Confirmatory	NCGC	Active	Potency	0.3162	NP_059488	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	884	qHTS Assay for Inhibitors and Substrates of Cytochrome P450 3A4	Confirmatory	NCGC	Active	Potency	0.3981	NP_059488	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	885	qHTS Assay for Activators of Cytochrome P450 3A4	Confirmatory	NCGC	Inactive	Potency	0.3162	NP_059488	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	885	qHTS Assay for Activators of Cytochrome P450 3A4	Confirmatory	NCGC	Inactive	Potency	0.3981	NP_059488	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	886	qHTS Assay for Inhibitors of HADH2 (Hydroxyacyl-Coenzyme A Dehydrogenase, Type II)	Confirmatory	NCGC	Inconclusive	Potency	31.6228	2O23_A	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	886	qHTS Assay for Inhibitors of HADH2 (Hydroxyacyl-Coenzyme A Dehydrogenase, Type II)	Confirmatory	NCGC	Inconclusive	Potency	31.6228	2O23_B	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	886	qHTS Assay for Inhibitors of HADH2 (Hydroxyacyl-Coenzyme A Dehydrogenase, Type II)	Confirmatory	NCGC	Inconclusive	Potency	39.8107	2O23_A	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	886	qHTS Assay for Inhibitors of HADH2 (Hydroxyacyl-Coenzyme A Dehydrogenase, Type II)	Confirmatory	NCGC	Inconclusive	Potency	39.8107	2O23_B	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	887	qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase)	Confirmatory	NCGC	Inconclusive	Potency	31.6228	AAC52118	
