organism_name	requested_by
Ceropegia retrospiciens	lotus
Ceropegia ruschii	lotus
Ceropegia stalagmifera	lotus
Ceropegia umbellata	lotus
Ceroplastes albolineatus	lotus
Cespitularia hypotentaculata	lotus
Cetraria collata	lotus
Cetraria halei	lotus
Cetraria islandica var. islandica	lotus
Cetraria islandica var. polaris	lotus
Cetraria laii	lotus
Cetraria tenuifolia	lotus
Chaetomidium setosum	lotus
Chaetomium minutum	lotus
Chaetomium sphaerospermum	lotus
Chaetomium terricola	lotus
Chaetomorpha litorea	lotus
Chamaecrista glandulosa var. glandulosa	lotus
Chamaecytisus albus	lotus
Chamaecytisus calcareus	lotus
Chamaecytisus frivaldszkyanus	lotus
Chamaesaracha conioides	lotus
Chamerion dodonaei	lotus
Chamomilla	lotus
Chamomilla recutita	chebi_origins,lotus
Chamomilla suaveolens	lotus
Chara buckellii	lotus
Chara subspinosa	lotus
Chartolepis glastifolia	lotus
Chelonaplysilla violacea	lotus
Chenopodium botrys	lotus
Chiloscyphus polyanthos var. rivularis	lotus
Chiloscyphus polyanthus	lotus
Chlamys opercularis	lotus
Chlorogloeopsis n.a.	cyanometdb
Chlorophora tinctoria	chebi_origins
Chlorophytum malayense	lotus
Chondria oppositiclada	lotus
Chondrococcus hornemanni	lotus
Chondrophycus glandulifer	lotus
Chondropsis kirkii	lotus
Chromodoris inopinata	lotus
Chromolaena subhastata	lotus
Chromolaena subscandens	lotus
Chrozophora brocchiana	lotus
Chrozophora gracilis	lotus
Chrozophora obliqua	lotus
Chrozophora verbascifolia	lotus
Chrysanthellum americanum	lotus
Chrysanthemum balsamita	chebi_origins
Chrysanthemum cuneifolium	lotus
Chrysanthemum lavandulaefolium	lotus
Chrysanthemum occidentalijaponense	lotus
Chrysanthemum uliginosum	lotus
Chrysanthemum viscidi-hirtum	lotus
Chrysocephalum ambiguum	lotus
Chrysoderma mucosum	lotus
Ciboria gordonii	lotus
Cicer kopetdaghense	lotus
Cinachyrella enigmatica	lotus
Cinchona robusta	lotus
Cineraria canescens	lotus
Cinnamomum insulari-montanum	lotus
Circinotrichum falcatisporum	lotus
Cirsium chlorolepis	lotus
Cirsium nipponicum incomptum	lotus
Cissus bicolor	lotus
Cistus ledon	lotus
Citrus aurea	lotus
Citrus canariculata	lotus
Citrus flavicarpa	lotus
Citrus funadoko	lotus
Citrus intermedia	lotus
Citrus otachibana	lotus
Citrus pseudoparadisi	lotus
Citrus rugulosa	lotus
Citrus shunkokan	lotus
Citrus tengu	lotus
Citrus ujukitsu	lotus
Cladiella elongata	lotus
Cladiella hirsuta	lotus
Cladiella pauciflora	lotus
Cladiella sphaeroides	lotus
Cladina kalbii	lotus
Cladocroce incurvata	lotus
Cladonia abbreviatula	lotus
Cladonia aberrans	lotus
Cladonia angustata	lotus
Cladonia bacillaris	lotus
Cladonia dissimilis	lotus
Cladonia esorediata	lotus
Cladonia foliacea var. meiophora	lotus
Cladonia furcata subsp. furcata	lotus
Cladonia graciliformis	lotus
Cladonia heteroclada	lotus
Cladonia hitatiensis	lotus
Cladonia hokkaidensis	lotus
Cladonia hookeri	lotus
Cladonia kalbii	lotus
Cladonia koyaensis	lotus
Cladonia lepidota	lotus
Cladonia macaronesica	lotus
Cladonia major	lotus
Cladonia oceanica	lotus
Cladonia pseudomacilenta	lotus
Cladonia pseudorangiformis	lotus
Cladonia pseudostellata	lotus
Cladonia reticulata	lotus
Cladonia rigida var. rigida	lotus
Cladonia subpityrea	lotus
Cladonia sylvatica	lotus
Cladonia tenuiformis	lotus
Cladonia theiophila	lotus
Cladonia vicaria	lotus
Cladophora crispula	lotus
Cladostephus spongiosus var. verticillatus	lotus
Clathria basilana	lotus
Clathria eurypa	lotus
Clathria juniperina	lotus
Clathria lissosclera	lotus
Clathria pyramida	lotus
Clausena pentaphylla	lotus
Clavelina cylindrica	lotus
Clavicorona mairei	lotus
Clavularia frankliniana	lotus
Clematis jubata	lotus
Clematis montevidensis	lotus
Cleome graveolens	lotus
Cleome ovalifolia	lotus
Clerodendrum petasites	lotus
Clerodendrum phlomoides	lotus
Clerodendrum scandens	lotus
Clibadium armanii	lotus
Clibadium sodiroi	lotus
Clinopodium barbatum	lotus
Clinopodium insulare	lotus
Clitocybe concava	lotus
Clitoria macrophylla	lotus
Clonostachys cylindrospora	lotus
Clusia havetioides var. stenocarpa	lotus
Clusia obdeltifolia	lotus
Clutia lanceolata	lotus
Cnemidocarpa bicornuta	lotus
Coccolithus huxleyi	lotus
Cocconeis pseudomarginata	lotus
Cocculus grandifolius	lotus
Codium dichotomum	lotus
Codium divaricatum	lotus
Codium indicum	lotus
Coelocaulon divergens	lotus
Coincya transtagana	lotus
Colchicum lusitanicum	lotus
Coleofasciculus n.a.	cyanometdb
Coleonema calycinum	lotus
Colletotrichum tabacum	lotus
Collisella limatula	lotus
Colubrina faralaotra	lotus
Combretum dolichopetalum	chebi_origins
Combretum griffithii var. yunnanense	lotus
Combretum wallichii var. ternatum	lotus
Commelina undulata	lotus
Commiphora abyssinica	lotus
Commiphora holtziana	chebi_origins
Congopyge acanthophor	lotus
Coniochaeta saccardoi	lotus
Conoclinium greggii	lotus
Conocybe cyanopus	lotus
Conoideocrella krungchingensis	lotus
Conophytum kubusanum	lotus
Conophytum minutum pearsonii	lotus
Conoplea elegantula	lotus
Conyza incana	lotus
Conyza newii	lotus
Conyza volkensii	lotus
Copaifera cearensis	lotus
Copaifera guianensis	lotus
Copaifera langsdorfii	lotus
Coprinopsis rhizophora	lotus
Corallistes undulatus	lotus
Cordia corymbosa	lotus
Cordia francisci	lotus
Cordia obliqua	lotus
Cordia serratifolia	lotus
Coreopsis capillacea	lotus
Coreopsis nodosa	lotus
Coreopsis pringlei	lotus
Coriaria nepalensis Wall.	chebi_origins
Coriocella hibyae	lotus
Cornucopiella	lotus
Corpuscularia taylori	lotus
Corpuscularia taylorii	lotus
Corticium niger	lotus
Corticium simplex	lotus
Cortinarius pyromyxa	lotus
Corydalis integra	lotus
Corydalis longipes	lotus
Corydalis ramosa	lotus
Corydalis rutifolia	lotus
Cotula cinereum	lotus
Cotula filicula	lotus
Cracca trifoliolata	lotus
Crassocephalum mannii	chebi_origins
Crataegus azarolus var. pontica	lotus
Cratoxylum celebicum	chebi_origins
Crematogaster brevis	lotus
Crematogaster brevispinosa	lotus
Crepidotus fulvotomentosus	lotus
Cribrochalina dura	lotus
Crinum angustum	lotus
Crinum asiaticum var. asiaticum	lotus
Crinum augustum	chebi_origins,lotus
Crinum giganteum	lotus
Crocosphaera Crocosphaera	cyanometdb
Crocus caeruleus	lotus
Crocynia neglecta	lotus
Crossostylis sebertii	lotus
Crotalaria rubiginosa	lotus
Croton argyroglossus	lotus
Croton aromaticus	lotus
Croton cumingii	lotus
Croton eluteria	lotus
Croton essequiboensis	lotus
Croton gratissimus var. gratissimus	lotus
Croton laccifer	lotus
Croton lacciferus	lotus
Croton macrostachys	lotus
Croton pullei var. glabrior	chebi_origins
Croton regelianus	lotus
Croton vaillantii	lotus
Croton zehntneri	lotus
Cryptocarya bourdillonii	lotus
Cryptocarya griffithiana	lotus
Cryptocarya griffithiana var. crassinervia	lotus
Cryptocarya infectoria	lotus
Cryptocarya rugulosa	lotus
Cryptococcus albidus	lotus
Cryptocodon monocephalus	lotus
Cryptonemia angustata	lotus
Cucumaria conicospermium	lotus
Cucumaria japonica	lotus
Cucumaria okhotensis	lotus
Cullen corylifolia	lotus
Cullen obtusifolium	lotus
